heartbeat_id,window_id,sensor_pair,sensor_names,ptt_ms,sensor3_time_s,sensor4_time_s,window_start_s,window_end_s,reference_sensor,reference_mean_ibi_ms,sensor5_time_s
798,40,sensor3-sensor4,finger→wrist,35.99814810780799,208.5462715255565,208.5822696736643,199.7897219983323,219.78669327221945,sensor3,803.2086796554577,
799,40,sensor3-sensor4,finger→wrist,17.999074053903996,209.35622985798219,209.3742289320361,199.7897219983323,219.78669327221945,sensor3,803.2086796554577,
800,40,sensor3-sensor4,finger→wrist,44.9976851347742,210.1931868014887,210.23818448662348,199.7897219983323,219.78669327221945,sensor3,803.2086796554577,
801,40,sensor3-sensor4,finger→wrist,53.99722216171199,210.96714698580658,211.0211442079683,199.7897219983323,219.78669327221945,sensor3,803.2086796554577,
802,40,sensor3-sensor4,finger→wrist,53.99722216171199,211.73210763309748,211.7861048552592,199.7897219983323,219.78669327221945,sensor3,803.2086796554577,
803,40,sensor3-sensor4,finger→wrist,35.99814810780799,212.54206596552316,212.57806411363097,199.7897219983323,219.78669327221945,sensor3,803.2086796554577,
804,40,sensor3-sensor4,finger→wrist,62.9967591886782,213.30702661281407,213.37002337200275,199.7897219983323,219.78669327221945,sensor3,803.2086796554577,
805,40,sensor3-sensor4,finger→wrist,17.999074053903996,214.07198726010498,214.08998633415888,199.7897219983323,219.78669327221945,sensor3,803.2086796554577,
806,40,sensor3-sensor4,finger→wrist,35.99814810780799,214.80994929631504,214.84594744442285,199.7897219983323,219.78669327221945,sensor3,803.2086796554577,
807,40,sensor3-sensor4,finger→wrist,44.99768513474578,215.60190855468682,215.64690623982156,199.7897219983323,219.78669327221945,sensor3,803.2086796554577,
808,40,sensor3-sensor4,finger→wrist,44.9976851347742,216.38486827603163,216.4298659611664,199.7897219983323,219.78669327221945,sensor3,803.2086796554577,
809,40,sensor3-sensor4,finger→wrist,8.999537026966209,217.13182984926863,217.1408293862956,199.7897219983323,219.78669327221945,sensor3,803.2086796554577,
810,40,sensor3-sensor4,finger→wrist,62.9967591886782,217.8697918854787,217.93278864466737,199.7897219983323,219.78669327221945,sensor3,803.2086796554577,
811,40,sensor3-sensor4,finger→wrist,35.99814810780799,218.66175114385047,218.69774929195827,199.7897219983323,219.78669327221945,sensor3,803.2086796554577,
812,40,sensor3-sensor4,finger→wrist,35.99814810780799,219.47170947627615,219.50770762438395,199.7897219983323,219.78669327221945,sensor3,803.2086796554577,
813,41,sensor3-sensor4,finger→wrist,35.99814810780799,205.25244097369213,205.28843912179994,204.78446504829063,224.78143632217777,sensor3,782.5847406353596,
814,41,sensor3-sensor4,finger→wrist,35.99814810780799,206.08039838017172,206.11639652827952,204.78446504829063,224.78143632217777,sensor3,782.5847406353596,
